순위,서명,저자,출판사,출판년도,권,ISBN,ISBN부가기호,KDC,대출건수
1,흔한남매,원작: 흔한남매 ;그림: 유난희,미래엔,2019,11,9.79117E+12,77810,810,"3,996"
2,흔한남매,원작: 흔한남매 ;그림: 유난희,미래엔,2019,3,9.79116E+12,77810,810,"3,971"
3,흔한남매,원작: 흔한남매 ;그림: 유난희,미래엔,2019,14,9.79117E+12,77810,810,"3,965"
4,흔한남매,원작: 흔한남매 ;그림: 유난희,미래엔,2019,13,9.79117E+12,77810,810,"3,927"
5,흔한남매,원작: 흔한남매 ;그림: 유난희,미래엔,2019,8,9.79116E+12,77810,810,"3,895"
6,흔한남매,원작: 흔한남매 ;그림: 유난희,미래엔,2019,10,9.79117E+12,77810,810,"3,893"
7,흔한남매,원작: 흔한남매 ;그림: 유난희,미래엔,2019,6,9.79116E+12,77810,810,"3,889"
8,흔한남매,원작: 흔한남매 ;그림: 유난희,미래엔,2019,5,9.79116E+12,77810,810,"3,884"
9,흔한남매,원작: 흔한남매 ;그림: 유난희,미래엔,2019,12,9.79117E+12,77810,810,"3,862"
10,흔한남매,원작: 흔한남매 ;그림: 유난희,미래엔,2019,9,9.79116E+12,77810,810,"3,831"
11,흔한남매,원작: 흔한남매 ;그림: 유난희,미래엔,2019,15,9.79117E+12,77810,810,"3,815"
12,흔한남매,원작: 흔한남매 ;그림: 유난희,미래엔,2019,16,9.79117E+12,77810,810,"3,768"
13,흔한남매,원작: 흔한남매 ;그림: 유난희,미래엔,2019,4,9.79116E+12,77810,810,"3,751"
14,흔한남매,원작: 흔한남매 ;그림: 유난희,미래엔,2019,7,9.79116E+12,77810,810,"3,630"
15,흔한남매,원작: 흔한남매 ;그림: 유난희,미래엔,2019,2,9.79116E+12,77810,810,"3,594"
16,흔한남매,원작: 흔한남매 ;그림: 유난희,미래엔,2019,1,9.79116E+12,77810,810,"3,526"
17,흔한남매,원작: 흔한남매 ;그림: 유난희,미래엔,2019,17,9.79117E+12,77810,810,"3,486"
18,흔한남매의 흔한 호기심 :일상에서 만나는 과학 상식,원작: 흔한남매 ;그림: 유난희,미래엔,2020,9,9.79117E+12,77400,400,"3,470"
19,놓지 마 과학!,"글·그림: 신태훈,나승훈",위즈덤하우스,2016,12,9.79119E+12,67400,408,"3,390"
20,흔한남매의 흔한 호기심 :일상에서 만나는 과학 상식,원작: 흔한남매 ;그림: 유난희,미래엔,2020,2,9.79116E+12,77400,400,"3,380"
21,흔한남매의 흔한 호기심 :일상에서 만나는 과학 상식,원작: 흔한남매 ;그림: 유난희,미래엔,2020,7,9.79117E+12,77400,400,"3,367"
22,흔한남매의 흔한 호기심 :일상에서 만나는 과학 상식,원작: 흔한남매 ;그림: 유난희,미래엔,2020,10,9.79117E+12,77400,400,"3,358"
23,흔한남매 과학 탐험대,원작: 흔한남매 ;임혜영,김영사,2021,10,9.78893E+12,77400,400,"3,345"
24,흔한남매의 흔한 호기심 :일상에서 만나는 과학 상식,원작: 흔한남매 ;그림: 유난희,미래엔,2020,11,9.79117E+12,77400,400,"3,308"
25,흔한남매의 흔한 호기심 :일상에서 만나는 과학 상식,원작: 흔한남매 ;그림: 유난희,미래엔,2020,6,9.79117E+12,77400,400,"3,298"
26,흔한남매의 흔한 호기심 :일상에서 만나는 과학 상식,원작: 흔한남매 ;그림: 유난희,미래엔,2020,8,9.79117E+12,77400,400,"3,267"
27,놓지 마 과학!,"글·그림: 신태훈,나승훈",위즈덤하우스,2016,19,9.79117E+12,77400,408,"3,247"
28,놓지 마 과학!,"글·그림: 신태훈,나승훈",위즈덤하우스,2016,14,9.79119E+12,67400,408,"3,236"
29,놓지 마 과학!,"글·그림: 신태훈,나승훈",위즈덤하우스,2016,13,9.79119E+12,67400,408,"3,233"
30,놓지 마 과학!,"글·그림: 신태훈,나승훈",위즈덤하우스,2016,17,9.79117E+12,67400,408,"3,229"
31,흔한남매의 흔한 호기심 :일상에서 만나는 과학 상식,원작: 흔한남매 ;그림: 유난희,미래엔,2020,3,9.79116E+12,77400,400,"3,218"
32,놓지 마 과학!,"글·그림: 신태훈,나승훈",위즈덤하우스,2016,11,9.79119E+12,67400,408,"3,214"
33,에그박사 :Egg&bugs,원작: 에그박사 ;그림: 홍종현,미래엔,2020,13,9.79117E+12,77490,472,"3,209"
34,흔한남매의 흔한 호기심 :일상에서 만나는 과학 상식,원작: 흔한남매 ;그림: 유난희,미래엔,2020,4,9.79116E+12,77400,400,"3,203"
35,에그박사 :Egg&bugs,원작: 에그박사 ;그림: 홍종현,미래엔,2020,12,9.79117E+12,77490,472,"3,198"
36,흔한남매 과학 탐험대,원작: 흔한남매 ;임혜영,김영사,2021,8,9.78893E+12,77400,400,"3,195"
37,놓지 마 과학!,"글·그림: 신태훈,나승훈",위즈덤하우스,2016,18,9.79117E+12,77400,408,"3,194"
38,흔한남매의 흔한 호기심 :일상에서 만나는 과학 상식,원작: 흔한남매 ;그림: 유난희,미래엔,2020,5,9.79117E+12,77400,400,"3,192"
39,에그박사 :Egg&bugs,원작: 에그박사 ;그림: 홍종현,미래엔,2020,10,9.79117E+12,77490,472,"3,172"
40,흔한남매 과학 탐험대,원작: 흔한남매 ;임혜영,김영사,2021,11,9.78893E+12,77400,400,"3,167"
41,흔한남매 과학 탐험대,원작: 흔한남매 ;임혜영,김영사,2021,9,9.78893E+12,77400,400,"3,150"
42,놓지 마 과학!,"글·그림: 신태훈,나승훈",위즈덤하우스,2016,16,9.79117E+12,67400,408,"3,116"
43,흔한남매 과학 탐험대,원작: 흔한남매 ;임혜영,김영사,2021,2,9.78893E+12,77400,400,"3,098"
44,에그박사 :Egg&bugs,원작: 에그박사 ;그림: 홍종현,미래엔,2020,11,9.79117E+12,77490,472,"3,095"
45,흔한남매의 흔한 호기심 :일상에서 만나는 과학 상식,원작: 흔한남매 ;그림: 유난희,미래엔,2020,1,9.79116E+12,77400,400,"3,088"
46,흔한남매 이상한 나라의 고전 읽기,최재훈 글 ;정주연 그림,미래엔,2022,4,9.79117E+12,74810,813.5,"3,037"
