순위,서명,저자,출판사,출판년도,권,ISBN,ISBN부가기호,KDC,대출건수
1,소년이 온다 :한강 장편소설 ,지은이: 한강,창비,2014,,9.78894E+12,3810,813.62,"2,553"
2,작별하지 않는다 :한강 장편소설 ,지은이: 한강,문학동네,2021,,9.78895E+12,3810,813.62,"2,274"
3,채식주의자:한강 연작소설,한강,창비,2007,,9.78894E+12,3810,813.6,"1,709"
4,허송세월 :김훈 산문 ,지은이: 김훈,나남,2024,,9.78893E+12,4040,814.62,"1,586"
5,"바람이 분다, 가라 :한강 장편소설 ",한강,문학과지성사,2010,,9.78893E+12,3810,813.62,"1,582"
6,그대의 차가운 손:한강 장편소설,한강 지음,문학과지성사,2002,,9.78893E+12,3810,813.6,"1,574"
7,황금종이 :조정래 장편소설 ,저자: 조정래,해냄(해냄출판사),2023,1,9.79117E+12,4810,813.62,"1,435"
8,풍수전쟁 :김진명 장편소설 ,지은이: 김진명,이타(이타북스),2023,,9.79117E+12,3810,813.62,"1,322"
9,황금종이 :조정래 장편소설 ,저자: 조정래,해냄(해냄출판사),2023,2,9.79117E+12,4810,813.62,"1,287"
10,나의 인생만사 답사기 :유홍준 잡문집 ,지은이: 유홍준,창비,2024,,9.78894E+12,3810,818,"1,156"
11,한강 ,지은이: 한강,문학동네,2023,,9.78895E+12,3810,810.81,"1,142"
12,희랍어 시간 :한강 장편소설 ,지은이: 한강,문학동네,2011,,9.78895E+12,3810,813.62,"1,104"
13,여수의 사랑 :한강 소설집 ,지은이: 한강,문학과지성사,2018,,9.78893E+12,3810,813.62,"1,088"
14,채식주의자 :한강 장편소설 ,지은이: 한강,창비,2022,,9.78894E+12,3810,813.62,"1,046"
15,"넥서스 :석기시대부터 AI까지, 정보 네트워크로 보는 인류 역사 ",지은이: 유발 하라리 ;옮긴이: 김명주,김영사,2024,,9.79119E+12,3900,331.5412,"1,038"
16,흰 :한강 소설 ,지은이: 한강,문학동네,2018,,9.78895E+12,3810,813.62,994
17,천년의 질문 :조정래 장편소설 ,저자: 조정래,해냄,2019,1,9.78897E+12,4810,813.62,964
18,내 여자의 열매 :한강 소설집 ,지은이: 한강,문학과지성사,2018,,9.78893E+12,3810,813.62,963
19,(뇌과학과 심리학으로 치유하는) 마음의 기술 :뇌를 이해하면 내 마음이 보인다 ,"안-엘렌 클레르,구영옥 옮김",상상스퀘어,2024,,9.79119E+12,3180,186.5,914
20,퓨처 셀프 :현재와 미래가 달라지는 놀라운 혁명 ,벤저민 하디 지음 ;최은아 옮김,상상스퀘어,2023,,9.79119E+12,3320,325.211,840
21,천년의 질문 :조정래 장편소설 ,저자: 조정래,해냄,2019,2,9.78897E+12,4810,813.62,809
22,천년의 질문 :조정래 장편소설 ,저자: 조정래,해냄,2019,3,9.78897E+12,4810,813.62,797
23,영원한 천국 :정유정 장편소설 ,지은이: 정유정,은행나무,2024,,9.79117E+12,3810,813.7,786
24,(박태웅의) AI 강의 2025 :인공지능의 출현부터 일상으로의 침투까지 우리와 미래를 함께할 새로운 지능의 모든 것 ,박태웅 지음,한빛비즈,2024,,9.79116E+12,3300,4.73,784
25,검은 사슴 :한강 장편소설 ,지은이: 한강,문학동네,2017,,9.78895E+12,4810,813.62,772
26,고전이 답했다 :마땅히 살아야 할 삶에 대하여 ,고명환 지음,라곰,2024,,9.79119E+12,3320,199.1,744
