순위,서명,저자,출판사,출판년도,권,ISBN,ISBN부가기호,KDC,대출건수
1,흔한남매,원작: 흔한남매 ;그림: 유난희,미래엔,2019,13,9.79117E+12,77810,810,"4,218"
2,흔한남매,원작: 흔한남매 ;그림: 유난희,미래엔,2019,10,9.79117E+12,77810,810,"4,182"
3,흔한남매,원작: 흔한남매 ;그림: 유난희,미래엔,2019,11,9.79117E+12,77810,810,"4,153"
3,흔한남매,원작: 흔한남매 ;그림: 유난희,미래엔,2019,15,9.79117E+12,77810,810,"4,153"
5,흔한남매,원작: 흔한남매 ;그림: 유난희,미래엔,2019,8,9.79116E+12,77810,810,"4,057"
6,흔한남매,원작: 흔한남매 ;그림: 유난희,미래엔,2019,16,9.79117E+12,77810,810,"4,040"
7,흔한남매,원작: 흔한남매 ;그림: 유난희,미래엔,2019,7,9.79116E+12,77810,810,"4,033"
8,흔한남매,원작: 흔한남매 ;그림: 유난희,미래엔,2019,3,9.79116E+12,77810,810,"4,026"
9,흔한남매,원작: 흔한남매 ;그림: 유난희,미래엔,2019,5,9.79116E+12,77810,810,"4,014"
10,흔한남매,원작: 흔한남매 ;그림: 유난희,미래엔,2019,14,9.79117E+12,77810,810,"4,002"
11,흔한남매,원작: 흔한남매 ;그림: 유난희,미래엔,2019,9,9.79116E+12,77810,810,"3,953"
11,흔한남매,원작: 흔한남매 ;그림: 유난희,미래엔,2019,12,9.79117E+12,77810,810,"3,953"
13,흔한남매,원작: 흔한남매 ;그림: 유난희,미래엔,2019,4,9.79116E+12,77810,810,"3,948"
14,흔한남매,원작: 흔한남매 ;그림: 유난희,미래엔,2019,6,9.79116E+12,77810,810,"3,924"
15,흔한남매,원작: 흔한남매 ;그림: 유난희,미래엔,2019,2,9.79116E+12,77810,810,"3,775"
16,흔한남매,원작: 흔한남매 ;그림: 유난희,미래엔,2019,1,9.79116E+12,77810,810,"3,772"
17,흔한남매,원작: 흔한남매 ;그림: 유난희,미래엔,2019,17,9.79117E+12,77810,810,"3,589"
18,당연하게도 나는 너를 :이꽃님 장편소설 ,지은이: 이꽃님,우리학교,2023,,9.79117E+12,43810,813.7,"3,578"
19,흔한남매의 흔한 호기심 :일상에서 만나는 과학 상식,원작: 흔한남매 ;그림: 유난희,미래엔,2020,9,9.79117E+12,77400,400,"3,411"
20,고양이 해결사 깜냥,홍민정 동화 ;김재희 그림,창비,2020,1,9.78894E+12,74810,813.7,"3,398"
21,고양이 해결사 깜냥,홍민정 동화 ;김재희 그림,창비,2020,7,9.78894E+12,73810,813.7,"3,348"
22,고양이 해결사 깜냥,홍민정 동화 ;김재희 그림,창비,2020,2,9.78894E+12,74810,813.7,"3,340"
23,고양이 해결사 깜냥,홍민정 동화 ;김재희 그림,창비,2020,5,9.78894E+12,73810,813.7,"3,319"
24,흔한남매의 흔한 호기심 :일상에서 만나는 과학 상식,원작: 흔한남매 ;그림: 유난희,미래엔,2020,6,9.79117E+12,77400,400,"3,275"
25,흔한남매의 흔한 호기심 :일상에서 만나는 과학 상식,원작: 흔한남매 ;그림: 유난희,미래엔,2020,2,9.79116E+12,77400,400,"3,256"
26,흔한남매의 흔한 호기심 :일상에서 만나는 과학 상식,원작: 흔한남매 ;그림: 유난희,미래엔,2020,3,9.79116E+12,77400,400,"3,243"
27,흔한남매 이상한 나라의 고전 읽기,최재훈 글 ;정주연 그림,미래엔,2022,4,9.79117E+12,74810,813.5,"3,230"
28,고양이 해결사 깜냥,홍민정 동화 ;김재희 그림,창비,2020,6,9.78894E+12,73810,813.7,"3,214"
29,흔한남매의 흔한 호기심 :일상에서 만나는 과학 상식,원작: 흔한남매 ;그림: 유난희,미래엔,2020,10,9.79117E+12,77400,400,"3,212"
30,흔한남매의 흔한 호기심 :일상에서 만나는 과학 상식,원작: 흔한남매 ;그림: 유난희,미래엔,2020,5,9.79117E+12,77400,400,"3,211"
31,흔한남매의 흔한 호기심 :일상에서 만나는 과학 상식,원작: 흔한남매 ;그림: 유난희,미래엔,2020,1,9.79116E+12,77400,400,"3,203"
32,흔한남매의 흔한 호기심 :일상에서 만나는 과학 상식,원작: 흔한남매 ;그림: 유난희,미래엔,2020,7,9.79117E+12,77400,400,"3,185"
33,야옹이 수영 교실 ,신현경 글 ;노예지 그림,인플루엔셜,2023,,9.79117E+12,77810,813.7,"3,176"
34,흔한남매 이상한 나라의 고전 읽기,최재훈 글 ;정주연 그림,미래엔,2022,5,9.79117E+12,74810,813.5,"3,168"
35,흔한남매 이상한 나라의 고전 읽기,최재훈 글 ;정주연 그림,미래엔,2022,3,9.79117E+12,74810,813.5,"3,138"
36,고양이 해결사 깜냥,홍민정 동화 ;김재희 그림,창비,2020,3,9.78894E+12,74810,813.7,"3,110"
37,고양이 해결사 깜냥,홍민정 동화 ;김재희 그림,창비,2020,4,9.78894E+12,74810,813.7,"3,109"
38,흔한남매의 흔한 호기심 :일상에서 만나는 과학 상식,원작: 흔한남매 ;그림: 유난희,미래엔,2020,4,9.79116E+12,77400,400,"3,099"
39,흔한남매 이상한 나라의 고전 읽기,최재훈 글 ;정주연 그림,미래엔,2022,2,9.79117E+12,74810,813.5,"3,095"
40,흔한남매의 흔한 호기심 :일상에서 만나는 과학 상식,원작: 흔한남매 ;그림: 유난희,미래엔,2020,8,9.79117E+12,77400,400,"3,093"
41,흔한남매의 흔한 호기심 :일상에서 만나는 과학 상식,원작: 흔한남매 ;그림: 유난희,미래엔,2020,11,9.79117E+12,77400,400,"3,090"
42,흔한남매 이상한 나라의 고전 읽기,최재훈 글 ;정주연 그림,미래엔,2022,1,9.79117E+12,74810,813.5,"3,056"
43,똥볶이 할멈 :K-히어로 판타지,글: 강효미 ;그림: 김무연,따끈따끈책방,2021,6,9.7912E+12,74810,813.7,"2,960"
44,불편한 편의점 :김호연 장편소설 ,지은이: 김호연,나무옆의자,2021,,9.79116E+12,3810,813.7,"2,883"
45,위풍당당 여우 꼬리,손원평 글 ;만물상 그림,창비,2021,5,9.78894E+12,73810,813.7,"2,873"
46,죽이고 싶은 아이 :이꽃님 장편소설 ,지은이: 이꽃님,우리학교,2021,,9.79119E+12,43810,813.7,"2,848"
47,생일엔 마라탕,글: 류미정 ;그림: 손수정,밝은미래,2024,1,9.78897E+12,73810,813.7,"2,840"
48,흔한남매 이무기 :이해하면 무서운 이야기,원작: 흔한남매 ;그림: 도니패밀리,미래엔,2023,1,9.79117E+12,77810,810,"2,829"
