순위,서명,저자,출판사,출판년도,권,ISBN,ISBN부가기호,KDC,대출건수
1,소년이 온다 :한강 장편소설 ,지은이: 한강,창비,2014,,9.78894E+12,3810,813.62,"15,856"
2,작별하지 않는다 :한강 장편소설 ,지은이: 한강,문학동네,2021,,9.78895E+12,3810,813.62,"13,109"
3,불편한 편의점 :김호연 장편소설 ,지은이: 김호연,나무옆의자,2021,,9.79116E+12,3810,813.7,"11,102"
4,이중 하나는 거짓말 :김애란 장편소설 ,지은이: 김애란,문학동네,2024,,9.79114E+12,3810,813.7,"9,678"
5,이처럼 사소한 것들 :클레어 키건 소설 ,지은이: 클레어 키건 ;옮긴이: 홍한별,다산북스,2023,,9.79113E+12,3840,843.6,"9,003"
6,어른의 행복은 조용하다 ,글: 태수,페이지2북스,2024,,9.79117E+12,3810,818,"8,933"
7,불편한 편의점 :김호연 장편소설,지은이: 김호연,나무옆의자,2022,2,9.79116E+12,3810,813.7,"8,597"
8,대온실 수리 보고서 :김금희 장편소설 ,지은이: 김금희,창비,2024,,9.78894E+12,3810,813.7,"8,279"
9,채식주의자:한강 연작소설,한강,창비,2007,,9.78894E+12,3810,813.6,"7,593"
10,채식주의자 :한강 장편소설 ,지은이: 한강,창비,2022,,9.78894E+12,3810,813.62,"7,479"
11,나의 돈키호테 :김호연 장편소설 ,지은이: 김호연,나무옆의자,2024,,9.79116E+12,3810,813.7,"7,168"
12,순례 주택 :유은실 소설 ,지은이: 유은실,비룡소,2021,,9.78895E+12,44800,813.7,"6,982"
13,두 사람의 인터내셔널 :김기태 소설 ,지은이: 김기태,문학동네,2024,,9.78895E+12,3810,813.7,"6,907"
14,죽이고 싶은 아이 :이꽃님 장편소설,지은이: 이꽃님,우리학교,2024,2,9.79117E+12,44810,813.7,"6,874"
15,마흔에 읽는 쇼펜하우어 :마음의 위기를 다스리는 철학 수업 ,강용수 지음,유노콘텐츠그룹,2023,,9.79119E+12,3160,165.47,"6,844"
16,홍학의 자리 :정해연 장편소설 ,지은이: 정해연,문학동네,2021,,9.78895E+12,3810,813.7,"6,841"
17,고전이 답했다 :마땅히 살아야 할 삶에 대하여 ,고명환 지음,라곰,2024,,9.79119E+12,3320,199.1,"6,774"
18,언젠가 우리가 같은 별을 바라본다면 :차인표 장편소설 ,글: 차인표,해결책,2021,,9.79119E+12,43810,813.7,"6,773"
19,모순 :양귀자 장편소설 ,지은이: 양귀자,쓰다,2013,,9.789E+12,3810,813.62,"6,509"
20,희랍어 시간 :한강 장편소설 ,지은이: 한강,문학동네,2011,,9.78895E+12,3810,813.62,"6,485"
21,영원한 천국 :정유정 장편소설 ,지은이: 정유정,은행나무,2024,,9.79117E+12,3810,813.7,"6,440"
22,너에게 들려주는 단단한 말 ,김종원 지음,퍼스트펭귄,2024,,9.7912E+12,43190,199,"6,435"
23,죽이고 싶은 아이 :이꽃님 장편소설 ,지은이: 이꽃님,우리학교,2021,,9.79119E+12,43810,813.7,"6,310"
24,흔한남매,원작: 흔한남매 ;그림: 유난희,미래엔,2019,17,9.79117E+12,77810,810,"6,238"
25,흔한남매,원작: 흔한남매 ;그림: 유난희,미래엔,2019,14,9.79117E+12,77810,810,"6,104"
26,단 한 번의 삶 ,지은이: 김영하,복복서가,2025,,9.79119E+12,3810,814.62,"6,089"
27,흰 :한강 소설 ,지은이: 한강,문학동네,2018,,9.78895E+12,3810,813.62,"6,038"
28,흔한남매,원작: 흔한남매 ;그림: 유난희,미래엔,2019,16,9.79117E+12,77810,810,"6,025"
