순위,서명,저자,출판사,출판년도,권,ISBN,ISBN부가기호,KDC,대출건수
1,작별하지 않는다 :한강 장편소설 ,지은이: 한강,문학동네,2021,,9.78895E+12,3810,813.62,"3,123"
2,소년이 온다 :한강 장편소설 ,지은이: 한강,창비,2014,,9.78894E+12,3810,813.62,"2,986"
3,"바람이 분다, 가라 :한강 장편소설 ",한강,문학과지성사,2010,,9.78893E+12,3810,813.62,"2,196"
4,채식주의자:한강 연작소설,한강,창비,2007,,9.78894E+12,3810,813.6,"1,946"
5,그대의 차가운 손:한강 장편소설,한강 지음,문학과지성사,2002,,9.78893E+12,3810,813.6,"1,945"
6,희랍어 시간 :한강 장편소설 ,지은이: 한강,문학동네,2011,,9.78895E+12,3810,813.62,"1,922"
7,허송세월 :김훈 산문 ,지은이: 김훈,나남,2024,,9.78893E+12,4040,814.62,"1,700"
8,흰 :한강 소설 ,지은이: 한강,문학동네,2018,,9.78895E+12,3810,813.62,"1,573"
9,이처럼 사소한 것들 :클레어 키건 소설 ,지은이: 클레어 키건 ;옮긴이: 홍한별,다산북스,2023,,9.79113E+12,3840,843.6,"1,428"
10,한강 ,지은이: 한강,문학동네,2023,,9.78895E+12,3810,810.81,"1,383"
11,내 여자의 열매 :한강 소설집 ,지은이: 한강,문학과지성사,2018,,9.78893E+12,3810,813.62,"1,344"
12,여수의 사랑 :한강 소설집 ,지은이: 한강,문학과지성사,2018,,9.78893E+12,3810,813.62,"1,326"
13,채식주의자 :한강 장편소설 ,지은이: 한강,창비,2022,,9.78894E+12,3810,813.62,"1,277"
14,즐거운 어른 :이옥선 산문 ,지은이: 이옥선,이야기장수,2024,,9.79119E+12,3810,818,"1,214"
15,서랍에 저녁을 넣어 두었다 :한강 시집 ,지은이: 한강,문학과지성사,2013,,9.78893E+12,3810,811.62,"1,151"
16,나는 메트로폴리탄 미술관의 경비원입니다 :가장 경이로운 세계 속으로 숨어버린 한 남자의 이야기 ,패트릭 브링리 지음 ;조현주 옮김,웅진씽크빅,2023,,9.7889E+12,3840,848,"1,131"
17,영원한 천국 :정유정 장편소설 ,지은이: 정유정,은행나무,2024,,9.79117E+12,3810,813.7,"1,120"
18,나의 인생만사 답사기 :유홍준 잡문집 ,지은이: 유홍준,창비,2024,,9.78894E+12,3810,818,"1,075"
19,어른의 행복은 조용하다 ,글: 태수,페이지2북스,2024,,9.79117E+12,3810,818,"1,067"
